candidate,label,file,bin_index,qT,data,prediction,ratio,error_data,error_total,error_data_ratio,error_total_ratio,chi2dN_file,N_file
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-7Q8.csv,3,0.7,0.197,0.1975841075181961,1.0029650127827212,0.051783805383536656,0.0609515718259152,0.26286195626160735,0.3093988417559147,0.2304446204363427,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-7Q8.csv,4,0.9,0.145,0.1553729921579361,1.0715378769512836,0.03885952264246178,0.04589417439338679,0.2679967078790468,0.31651154754059857,0.2304446204363427,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-7Q8.csv,5,1.1,0.11,0.11949723213911057,1.0863384739919142,0.030004166377354997,0.03463657441005822,0.27276514888504544,0.31487794918234746,0.2304446204363427,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-7Q8.csv,6,1.3,0.0781,0.08974239230155945,1.1490703239636293,0.021846409888125782,0.024413206418608762,0.2797235581066041,0.3125890706608036,0.2304446204363427,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,0,0.1,0.096,0.09936507791280746,1.0350528949250777,0.031240998703626618,0.03661632740870662,0.3254270698294439,0.3814200771740273,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,1,0.3,0.07,0.09185954928398132,1.3122792754854473,0.020670026608594388,0.027379185067711566,0.29528609440849124,0.39113121525302236,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,2,0.5,0.07,0.07940617948770523,1.1343739926815033,0.01967866865415443,0.025266019840416102,0.2811238379164918,0.36094314057737287,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,3,0.7,0.073,0.06523453444242477,0.893623759485271,0.020348525745122175,0.02419374200097207,0.27874692801537226,0.3314211233009873,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,4,0.9,0.053,0.05164540186524391,0.9744415446272436,0.014985409570645708,0.018015802877840333,0.282743576804636,0.33992080901585536,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,5,1.1,0.052,0.040009789168834686,0.7694190224775902,0.015264337522470472,0.01681283152809912,0.2935449523552014,0.3233236832326754,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-300-8Q9.csv,6,1.3,0.032,0.030282147228717804,0.9463171008974314,0.01,0.010990665304423154,0.3125,0.34345829076322354,0.9014210583676928,7
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,0,0.1,0.00993,0.00885944813489914,0.892190144501424,0.003277561021552459,0.0041666699383914145,0.3300665681321711,0.4196042234029622,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,1,0.3,0.00699,0.008313756436109543,1.1893786031630247,0.001998663616019464,0.0031470019531427357,0.2859318477853311,0.45021487169423974,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,2,0.5,0.00753,0.007375430315732956,0.9794728174944164,0.002069639159370541,0.002996217862681633,0.2748524780040559,0.39790409862969894,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,3,0.7,0.00509,0.006278329063206911,1.233463470178175,0.0014068604230697516,0.002296466605208156,0.2763969396993618,0.45117222106250615,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,4,0.9,0.00377,0.005190475843846798,1.376784043460689,0.0010531886108385334,0.0017714958702347342,0.2793603742277277,0.46989280377579157,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,5,1.1,0.00334,0.004186990670859814,1.253590021215513,0.0009392150978343566,0.0014016034374045876,0.2812021251001068,0.4196417477259244,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,6,1.3,0.00289,0.0033171921968460083,1.1478173691508677,0.0008258366969322688,0.0010909144234549876,0.2857566425371172,0.37747903925778115,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,7,1.5,0.00231,0.002584851812571287,1.1189834686455788,0.0006858616843066829,0.0008187977442509986,0.29690982004618305,0.3544578979441553,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,8,1.7,0.0012,0.001979914726689458,1.6499289389078817,0.00039051248379533266,0.0004901485717622195,0.3254270698294439,0.408457143135183,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-11Q12.csv,9,1.9,0.00091,0.0014819769421592355,1.628546090284874,0.00031647472252930404,0.0003992122697011914,0.34777442036187256,0.4386948018694411,1.0475185268172886,10
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,0,0.1,0.00225,0.0029999271500855684,1.333300955593586,0.0010192675065948094,0.0015683307409619345,0.4530077807088042,0.697035884871971,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,1,0.3,0.00259,0.002838261192664504,1.0958537423415073,0.0008431229151197351,0.0014114540484644169,0.3255300830578128,0.5449629530750645,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,2,0.5,0.00157,0.0025555682368576527,1.6277504693360845,0.0005258861568818863,0.0011467750671103726,0.33495933559355817,0.7304299790511928,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,3,0.7,0.00207,0.002213026862591505,1.0690951027012103,0.0006191980700874317,0.0010662229399512194,0.2991295024576965,0.5150835458701544,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,4,0.9,0.00154,0.0018616877496242523,1.2088881491066574,0.00047023930078205926,0.0008371000362990945,0.3053501953130255,0.5435714521422692,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,5,1.1,0.00129,0.0015327341388911009,1.1881659991403883,0.00040200279849772193,0.0006610444943441128,0.3116300763548232,0.5124375925148161,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,6,1.3,0.00097,0.0012402673019096255,1.278626084442913,0.00031433461470223095,0.0004940953763173584,0.3240563038167329,0.5093766766158334,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,7,1.5,0.00085,0.0009886554908007383,1.163124106824398,0.0002784892277988504,0.00039120927384793635,0.32763438564570635,0.46024620452698395,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,8,1.7,0.00052,0.0007751525263302028,1.4906779352503903,0.000191049731745428,0.00028121167095185843,0.36740333027966926,0.5407916749074201,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,9,1.9,0.00016,0.0005958902183920145,3.72431386495009,8.94427190999916e-05,0.00018983369764490334,0.5590169943749475,1.1864606102806459,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,10,2.1,0.00024,0.00044658337719738483,1.86076407165577,0.00011661903789690601,0.0001836100277187756,0.485912657903775,0.765041782161565,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-12Q13.csv,11,2.3,0.00013,0.0003249449946451932,2.4995768818861017,8.634958019585273e-05,0.00014633360843775424,0.664227539968098,1.1256431418288788,1.0386531673168358,12
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,0,0.1,0.00087,0.0009613324073143303,1.1049797785222188,0.0005544422873482867,0.0008298471827612461,0.6372899854578008,0.9538473365071795,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,1,0.3,0.00057,0.000916396442335099,1.6077130567282438,0.00027056653525519376,0.0006455038641849402,0.47467813202665576,1.132462919622702,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,2,0.5,0.00062,0.0008385319961234927,1.3524709614895043,0.00025303161857759987,0.0005844241675537484,0.4081155138348385,0.942619625086691,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,3,0.7,0.00085,0.0007405452779494226,0.8712297387640267,0.0002987578450852797,0.0005374624040769721,0.3514798177473879,0.6323087106787908,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,4,0.9,0.00038,0.0006374125950969756,1.6774015660446724,0.0001610124218810462,0.00039446369790187296,0.42371689968696363,1.0380623628996657,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,5,1.1,0.00035,0.0005388659192249179,1.539616912071194,0.000140556927968706,0.00030690186781936275,0.4015912227677314,0.8768624794838936,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,6,1.3,0.00029,0.0004482683725655079,1.545753008846579,0.00012351619327035626,0.00023078532730076245,0.4259179078288147,0.795811473450905,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,7,1.5,0.00019,0.00036747485864907503,1.9340782034161843,9.303897032964198e-05,0.00016137008837122007,0.489678791208642,0.8493162545853687,0.6877711903098985,11
poly_bstar_cslog__MSHT20N3LO-MC-4-2__aggressive,4-2 poly-bstar,E288\E228-400-13Q14.csv,8,1.7,9e-05,0.00029660260770469904,3.2955845300522113,5.4829280498653276e-05,0.0001054797459965222,0.6092142277628141,1.1719971777391356,0.6877711903098985,11
