source_dir,candidate,fit_name,np_name,result_path,card_path,chi2dN_total,chi2dN_collider,chi2dN_fixed_target,highE_mean_absdev_first3,highE_mean_shortfall_first3,highE_mean_signed_first3,cms_highmass_mean_signed_first3,zlike_mean_signed_first3,fit_evals,fit_flag,BNP,Bsat,Blog,powerCS,c0,c1,c2,logx0,sigx,amp,Bmu,alpha
art23_family_refine_results,art17m2_art23cslog2,Art23RefineART17M2CSLog2,NP-Art23RefineART17M2CSLog2.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\art23_family_refine_results\art17m2_art23cslog2.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Art23RefineART17M2CSLog2.jl,0.8172287045805399,0.9120278687423379,0.6893934680593277,0.05368966689157876,0.014380098021048057,0.02492947084948265,0.09761010396316101,-0.023524284559636264,4569,0,1.9515157173063615,,,,0.07942141591597437,0.01687651050154473,0.0,,,,,
art23_family_results,art17m2_art23cslog,Art23FamilyART17M2CSLog,NP-Art23FamilyART17M2CSLog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\art23_family_results\art17m2_art23cslog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Art23FamilyART17M2CSLog.jl,0.8172298137292905,0.9118151427431657,0.6896829306651246,0.053691714530978846,0.014386803153060283,0.02491810822485828,0.09759440017937009,-0.02353275307814959,3189,0,1.9496608472728374,,,,0.07947887802915514,0.01689112023127944,,,,,,
poly_cs_power_followup_results,poly_bstar_bmu_cslog2_cspower,PolyBstarBmuCSLog2CSPower,NP-PolyBstarBmuCSLog2CSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_power_followup_results\poly_bstar_bmu_cslog2_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarBmuCSLog2CSPower.jl,0.8206555725873793,0.896720488798537,0.7180831855753637,0.052076411239488626,0.016538848261539788,0.018998714716409053,0.0888439074448721,-0.027564747102566314,7441,0,0.8761196159370042,,,0.010596960141367687,0.11254466278469037,0.09425893830313285,0.0409366448257779,,,,2.638835662862363,1.295940793982669
poly_cs_pivot_followup_results,poly_cslog2_cspower_blog,PolyCSLog2CSPowerBlog,NP-PolyCSLog2CSPowerBlog.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_pivot_followup_results\poly_cslog2_cspower_blog.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyCSLog2CSPowerBlog.jl,0.8209689332464885,0.8936531916910176,0.7229553120106839,0.05206086003153577,0.017386598891639255,0.017287662248257254,0.08668565284974128,-0.02897766481939876,7898,0,,0.6918766064884058,0.6914486100131473,0.1341994656321991,0.10781494326165561,0.1032547779380166,0.0563928425792973,,,,,
poly_cs_power_followup_results,poly_cslog2_cspower,PolyCSLog2CSPower,NP-PolyCSLog2CSPower.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_cs_power_followup_results\poly_cslog2_cspower.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyCSLog2CSPower.jl,0.8209783837695043,0.8935069924128187,0.7231746539323074,0.05204654803221585,0.01730570054005097,0.017435146952113914,0.08685211873041221,-0.028842834233418282,7354,0,0.690408586757603,,,0.13539413732329308,0.10774131502086141,0.10335199393433113,0.05637697450787643,,,,,
poly_bstar_followup_results,poly_bstar_bmu_cslog2,PolyBstarBmuCSLog2,NP-PolyBstarBmuCSLog2.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\poly_bstar_followup_results\poly_bstar_bmu_cslog2.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarBmuCSLog2.jl,0.8215183287813922,0.8936424115617069,0.7242600959412709,0.052303245622034776,0.01580994475710762,0.020683356107819535,0.09115610558235691,-0.02629847687520538,6552,1,0.9481814638952569,,,,0.10824952140480332,0.08093067980264905,0.03130771660365905,,,,2.429258555329617,1.2405577965940335
localized_shape_followup_results,poly_bstar_cslog_loggauss,PolyBstarCSLogLogGauss,NP-PolyBstarCSLogLogGauss.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\localized_shape_followup_results\poly_bstar_cslog_loggauss.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarCSLogLogGauss.jl,0.822162734852905,0.8805645051479619,0.7434088324853285,0.05122019616532778,0.01073703316830575,0.02974612982871628,0.10083782163170811,-0.017648331373278273,8565,0,1.622536409156806,,,,0.07495203925467542,0.019929072687546494,,-4.5259178459660365,0.341294297696657,-0.3378471615809575,,0.8028845311874077
art23_family_refine_results,hybrid_0112_art23cs_refine,Art23RefineHybrid0112ART23CS,NP-Art23RefineHybrid0112ART23CS.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\art23_family_refine_results\hybrid_0112_art23cs_refine.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Art23RefineHybrid0112ART23CS.jl,0.823163250194213,0.9118283561671917,0.7035996982003482,0.053462142038308264,0.014196693706362755,0.025068754625582758,0.09752885033753582,-0.023237975849052614,4691,0,1.4784229462816914,,,,0.08566359476283157,0.0329685757667457,,,,,,
localized_shape_followup_results,poly_bstar_cslog_loggauss_odd,PolyBstarCSLogLogGaussOdd,NP-PolyBstarCSLogLogGaussOdd.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\localized_shape_followup_results\poly_bstar_cslog_loggauss_odd.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\PolyBstarCSLogLogGaussOdd.jl,0.8233223432018297,0.8833758973774422,0.7423410352983524,0.05196333571976261,0.011456266986888123,0.02905080174598636,0.10075462004946512,-0.01875174378966614,8443,0,1.51985972747773,,,,0.07754994148070721,0.02125447213378356,,-4.431763297797368,0.8566906808992718,0.392044755887758,,0.8831245072838947
art23_family_results,hybrid_0112_art23cs_refit,Art23FamilyHybrid0112ART23CS,NP-Art23FamilyHybrid0112ART23CS.cl,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Fits\art23_family_results\hybrid_0112_art23cs_refit.json,c:\Users\congyue zhang\Desktop\OpenCL fitter\TMD-Fits-Minimal\Cards\Art23FamilyHybrid0112ART23CS.jl,0.8240651022537326,0.9129796530025914,0.7041651777590595,0.05379190675082878,0.014272613752375481,0.02524667924607782,0.0980133584390358,-0.02326444021589417,3396,1,1.5484116081982147,,,,0.08575453232407577,0.02893874568183485,,,,,,
