qT_if_integrate,qT_mean,qT_min,qT_max,Q_if_integrate,Q_mean,Q_min,Q_max,y_if_integrate,y_mean,y_min,y_max,sqrts,isoscalarity,observable,if_fiducial,pT_min_1,pT_min_2,eta_min,eta_max,xsec,error_unc_0,error_unc_1,error_add_0,error_mult_0 
True,28.0,26.0,30.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00968,0.000165,7.7e-05,5.8e-05,0.0
True,32.0,30.0,34.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00782,0.000141,7e-05,3.9e-05,0.0
True,36.0,34.0,38.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00634,0.000127,6.3e-05,3.2e-05,0.0
True,40.0,38.0,42.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00509,0.000112,6.1e-05,2e-05,0.0
True,44.0,42.0,46.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00438,0.000105,5.3e-05,1.8e-05,0.0
True,48.0,46.0,50.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00357,9.3e-05,5e-05,1.4e-05,0.0
True,52.0,50.0,54.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.003,8.7e-05,4.5e-05,1.8e-05,0.0
True,57.0,54.0,60.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00266,7.2e-05,3.5e-05,1.1e-05,0.0
True,65.0,60.0,70.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00182,4.6e-05,2.4e-05,7e-06,0.0
True,75.0,70.0,80.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.00114,3.8e-05,1.8e-05,8e-06,0.0
True,90.0,80.0,100.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000596,1.8e-05,8e-06,5e-06,0.0
True,125.0,100.0,150.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.000198,7e-06,3e-06,4e-06,0.0
True,175.0,150.0,200.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,5.1e-05,3e-06,1e-06,1e-06,0.0
True,250.0,200.0,300.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,9e-06,1e-06,0.0,0.0,0.0
True,550.0,300.0,800.0,True,91.0,66.0,116.0,True,2.2,2.0,2.4,7000.0,1,1/σ*dσ/dqT,True,20.0,20.0,-2.4,2.4,0.0,0.0,0.0,0.0,0.0
