global_index,file,local_index,key
265,E288/E228-200-8Q9.csv,6,E288/E228-200-8Q9/6
266,E288/E228-300-11Q12.csv,0,E288/E228-300-11Q12/0
267,E288/E228-300-11Q12.csv,1,E288/E228-300-11Q12/1
268,E288/E228-300-11Q12.csv,2,E288/E228-300-11Q12/2
269,E288/E228-300-11Q12.csv,3,E288/E228-300-11Q12/3
270,E288/E228-300-11Q12.csv,4,E288/E228-300-11Q12/4
271,E288/E228-300-11Q12.csv,5,E288/E228-300-11Q12/5
272,E288/E228-300-11Q12.csv,6,E288/E228-300-11Q12/6
273,E288/E228-300-11Q12.csv,7,E288/E228-300-11Q12/7
274,E288/E228-300-11Q12.csv,8,E288/E228-300-11Q12/8
275,E288/E228-300-4Q5.csv,0,E288/E228-300-4Q5/0
276,E288/E228-300-4Q5.csv,1,E288/E228-300-4Q5/1
277,E288/E228-300-4Q5.csv,2,E288/E228-300-4Q5/2
278,E288/E228-300-5Q6.csv,0,E288/E228-300-5Q6/0
279,E288/E228-300-5Q6.csv,1,E288/E228-300-5Q6/1
280,E288/E228-300-5Q6.csv,2,E288/E228-300-5Q6/2
281,E288/E228-300-5Q6.csv,3,E288/E228-300-5Q6/3
282,E288/E228-300-6Q7.csv,0,E288/E228-300-6Q7/0
283,E288/E228-300-6Q7.csv,1,E288/E228-300-6Q7/1
284,E288/E228-300-6Q7.csv,2,E288/E228-300-6Q7/2
285,E288/E228-300-6Q7.csv,3,E288/E228-300-6Q7/3
286,E288/E228-300-6Q7.csv,4,E288/E228-300-6Q7/4
287,E288/E228-300-6Q7.csv,5,E288/E228-300-6Q7/5
288,E288/E228-300-7Q8.csv,0,E288/E228-300-7Q8/0
289,E288/E228-300-7Q8.csv,1,E288/E228-300-7Q8/1
290,E288/E228-300-7Q8.csv,2,E288/E228-300-7Q8/2
291,E288/E228-300-7Q8.csv,3,E288/E228-300-7Q8/3
292,E288/E228-300-7Q8.csv,4,E288/E228-300-7Q8/4
293,E288/E228-300-7Q8.csv,5,E288/E228-300-7Q8/5
294,E288/E228-300-7Q8.csv,6,E288/E228-300-7Q8/6
295,E288/E228-300-8Q9.csv,0,E288/E228-300-8Q9/0
296,E288/E228-300-8Q9.csv,1,E288/E228-300-8Q9/1
297,E288/E228-300-8Q9.csv,2,E288/E228-300-8Q9/2
298,E288/E228-300-8Q9.csv,3,E288/E228-300-8Q9/3
299,E288/E228-300-8Q9.csv,4,E288/E228-300-8Q9/4
300,E288/E228-300-8Q9.csv,5,E288/E228-300-8Q9/5
301,E288/E228-300-8Q9.csv,6,E288/E228-300-8Q9/6
