replica_id,pdf_replica_id,success,nfev,best_chi2dN,param_0,param_1,param_2,param_3,param_4,param_5,param_6,param_7,param_8
66,67,1,1605,2.1073785,-0.027913219,0.8269969,-2.3988173,-5.1726591,1.1109561,-0.64678434,1.6087389,0.07974296,0.028611124
67,68,1,1525,1.8324079,0.04977287,1.166079,-2.4996809,-5.0022364,1.0589761,-0.3868973,1.5129797,0.06950119,0.030629476
68,69,1,1578,2.1877123,0.034625663,1.0132625,-2.106418,-4.3763539,0.86846075,-0.30821762,1.4839486,0.068902564,0.021872537
69,70,1,1588,1.761026,-0.045980468,0.92469171,-2.5040928,-5.2125561,1.1200883,-0.60977748,1.5939368,0.070636602,0.034114628
70,71,1,1557,1.7451827,0.0085801162,1.0078005,-2.469128,-5.4085128,1.081003,-0.55446104,1.4559013,0.073146785,0.029317147
71,72,1,1555,2.1549386,-0.029725558,0.9260088,-2.1502776,-5.60204,1.1985775,-0.57910506,1.5192315,0.063625251,0.022976609
72,73,1,1561,1.6664411,0.13824058,1.2249216,-2.6211229,-4.6808121,0.75033903,-0.47927892,1.5091626,0.085003316,0.027350975
73,74,0,1480,1.8746083,-0.0037391666,0.90092371,-2.0376134,-5.1667568,1.020796,-0.38023379,1.3766305,0.072822028,0.030415809
74,75,1,1458,1.9152978,0.038410693,1.070216,-2.3247941,-5.1097695,1.1671971,-0.47872223,1.491194,0.074687546,0.028568115
75,76,1,1600,1.9278517,-0.056354428,0.88695707,-2.1922632,-5.2652065,1.085899,-0.55183056,1.4602262,0.068302345,0.039351336
76,77,1,1565,1.876828,0.026931517,0.99082244,-2.2515513,-4.7765365,1.1266215,-0.35673663,1.5118173,0.076784819,0.031527243
77,78,1,1559,1.9154414,0.018403597,0.98908662,-2.1447385,-4.7471242,1.1380381,-0.36657719,1.5208529,0.071267465,0.025732562
78,79,1,1560,1.923858,-0.034328241,0.68243615,-1.7473048,-4.9921918,0.99113483,-0.4427468,1.5584805,0.076103051,0.024871157
79,80,0,1587,1.7583823,0.055170327,1.0513072,-2.4561065,-5.0258378,0.70276471,-0.53589922,1.4498289,0.078726453,0.027098625
80,81,0,1472,2.2268827,0.13560926,1.0121832,-1.6865117,-5.1825674,0.6,-0.59856547,1.8778246,0.074321776,0.011802397
81,82,1,1596,1.7189217,-0.045947858,0.77360451,-1.8475367,-5.6020939,1.1844329,-0.53371209,1.4663804,0.072074726,0.033129659
82,83,1,1593,1.9566556,-0.025000905,0.84541108,-1.979669,-5.5987521,1.0668703,-0.44683561,1.5236489,0.066621188,0.021205799
83,84,1,1522,1.8081186,0.0016959109,1.0025405,-2.5495763,-5.1319599,0.89967475,-0.51721463,1.6666696,0.068748681,0.024744788
84,85,0,1527,2.0508957,0.0011031847,0.91506274,-2.1416041,-5.9822294,1.3520236,-1.0639323,1.2921447,0.082951218,0.038764977
85,86,1,1476,1.8731125,0.031326668,1.1078469,-2.7812879,-5.098114,1.2111159,-0.46255677,1.5362463,0.07397118,0.026582427
86,87,1,1567,2.1368743,-0.01106774,0.94759635,-2.2640232,-5.5016799,1.0199847,-0.50523045,1.6484045,0.063874949,0.020805891
87,88,0,1527,2.4382555,0.25665375,1.4014945,-2.5159775,-5.0733475,0.85540828,-0.49496203,1.7416152,0.072225107,0.0038376799
88,89,0,1591,2.0823728,0.11249018,1.0572996,-1.7665998,-4.3657665,0.83667228,-0.10396501,1.216781,0.082369729,0.051297529
89,90,1,1589,1.8978333,0.014265122,1.0694228,-2.6951766,-5.7895194,1.3108437,-0.57140574,2.0548457,0.059450593,0.013788787
90,91,1,1588,2.0609589,0.015324684,1.0034928,-2.0655789,-5.0370227,0.98319245,-0.33735348,1.5295194,0.064762598,0.024652858
91,92,1,1591,1.9393722,0.036838118,1.1789189,-3.1847039,-5.7369304,1.2491496,-1.0244644,1.6924493,0.073769878,0.020284677
92,93,1,989,1.6199869,0.026708655,1.0893674,-2.2806602,-4.9813949,1.106338,-0.44733013,1.5592722,0.071655658,0.030656239
93,94,1,1562,2.200445,0.1038793,1.2368853,-2.3402663,-5.4054759,1.0103189,-0.34075096,1.4889688,0.067535124,0.018599549
94,95,1,1603,2.2576498,0.17323255,1.7071635,-3.657404,-4.164134,1.1233374,-0.30979223,1.6495186,0.065696097,0.018665609
95,96,1,1595,1.8337641,-0.056250321,0.70396393,-1.4304514,-5.1464421,0.98956016,-0.43749955,1.4050647,0.071590414,0.033589232
96,97,1,1616,2.2352656,-0.060518421,0.77139762,-1.7869855,-5.5320983,1.0403477,-0.37048422,1.6115304,0.060267472,0.028665965
97,98,0,1581,1.9884584,0.19838362,1.279628,-2.4243816,-3.8985896,0.6525337,0.13760519,1.5842897,0.073110804,0.017951916
98,99,0,1620,2.0431854,0.13477703,1.2229844,-2.6669433,-5.8200014,1.0027429,-0.72939905,1.5224774,0.075420787,0.019401852
99,100,0,1593,2.0350506,0.090334761,1.1250022,-2.1636377,-4.9062181,1.1637296,-0.35805688,1.2059209,0.083419181,0.039781392
