mode,sign,file,bin_index,qT,ratio
2,-,LHCb_8\LHCb8.csv,2,4.0,0.9708848236103298
2,-,LHCb_8\LHCb8.csv,3,5.2,0.9686468540107059
2,-,LHCb_8\LHCb8.csv,4,6.5,0.9739969504687541
2,-,LHCb_8\LHCb8.csv,5,7.95,0.9816218871264036
2,-,LHCb_8\LHCb8.csv,6,9.6,0.9967132969968124
2,+,CMS_13\CMS13-170Q350.csv,0,1.0,1.0781371316244437
2,+,CMS_13\CMS13-170Q350.csv,1,3.0,1.093835287301702
2,+,CMS_13\CMS13-170Q350.csv,2,5.0,1.0840480779597077
2,+,CMS_13\CMS13-170Q350.csv,3,7.0,1.0792560336510433
2,+,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360548545256203
2,+,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120909965761733
2,+,CMS_13\CMS13-170Q350.csv,6,13.0,1.0489956525712065
2,+,CMS_13\CMS13-170Q350.csv,7,16.0,1.0570601634953143
2,+,CMS_13\CMS13-170Q350.csv,8,20.0,1.0062666029058478
2,+,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472916003327195
2,+,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1168180636185057
2,+,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1325818774974452
2,+,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1048424264178938
2,+,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1285340554232515
2,+,CMS_13\CMS13-350Q1000.csv,4,9.0,1.196048134507108
2,+,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247660729966156
2,+,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773780870223136
2,+,CMS_13\CMS13-350Q1000.csv,7,16.0,1.064821742402131
2,+,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098869322283115
2,+,CMS_13\CMS13-350Q1000.csv,9,25.0,0.929973597665972
2,+,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036654644347026
2,+,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9880816969433773
2,+,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9933847292022614
2,+,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0036586259211817
2,+,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9905580675524998
2,+,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9931786196821354
2,+,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9982562789079881
2,+,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9877883932463832
2,+,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9912414562209342
2,+,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9949795832102423
2,+,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9879962787316345
2,+,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9993783196573416
2,+,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9963092906843137
2,+,LHCb_8\LHCb8.csv,0,1.1,0.9523558795631001
2,+,LHCb_8\LHCb8.csv,1,2.8,0.9604011553989538
2,+,LHCb_8\LHCb8.csv,2,4.0,0.9704903190189089
2,+,LHCb_8\LHCb8.csv,3,5.2,0.9681175263676101
2,+,LHCb_8\LHCb8.csv,4,6.5,0.9736423112946012
2,+,LHCb_8\LHCb8.csv,5,7.95,0.9814804737287595
2,+,LHCb_8\LHCb8.csv,6,9.6,0.9966906029128582
2,0,CMS_13\CMS13-170Q350.csv,0,1.0,1.078311917047168
2,0,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940009935564634
2,0,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842179049409413
2,0,CMS_13\CMS13-170Q350.csv,3,7.0,1.0793576558066018
2,0,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360824225747456
2,0,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120632780573298
2,0,CMS_13\CMS13-170Q350.csv,6,13.0,1.048935979467804
2,0,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569848419323455
2,0,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061913760759498
2,0,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472213158188732
2,0,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1170604814063099
2,0,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1327971531226573
2,0,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1050240942763327
2,0,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1286512152616714
2,0,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1960943972734366
2,0,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247510142982697
2,0,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773271112223014
2,0,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0647568596552497
2,0,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098190875374455
2,0,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299155052677535
2,0,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036182393513199
2,0,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9917872501803132
2,0,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944658586505487
2,0,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0034079916746375
2,0,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9900033777763841
2,0,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926165016598688
2,0,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976735252541953
2,0,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9874099898538297
2,0,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.991212600287454
2,0,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9951937600308928
2,0,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9881681902207211
2,0,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9994519582972368
2,0,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9963051261676482
2,0,LHCb_8\LHCb8.csv,0,1.1,0.9521620132646434
2,0,LHCb_8\LHCb8.csv,1,2.8,0.9603843717203012
2,0,LHCb_8\LHCb8.csv,2,4.0,0.9706893009382569
2,0,LHCb_8\LHCb8.csv,3,5.2,0.9683799654436002
2,0,LHCb_8\LHCb8.csv,4,6.5,0.9738159216454174
2,0,LHCb_8\LHCb8.csv,5,7.95,0.9815471385450208
2,0,LHCb_8\LHCb8.csv,6,9.6,0.9966982311763721
3,-,CMS_13\CMS13-170Q350.csv,0,1.0,1.0790338003358175
3,-,CMS_13\CMS13-170Q350.csv,1,3.0,1.0944171194535668
3,-,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842942279616903
3,-,CMS_13\CMS13-170Q350.csv,3,7.0,1.0792732272985746
3,-,CMS_13\CMS13-170Q350.csv,4,9.0,1.0359512491122411
3,-,CMS_13\CMS13-170Q350.csv,5,11.0,1.011927241071233
3,-,CMS_13\CMS13-170Q350.csv,6,13.0,1.0488087605188672
3,-,CMS_13\CMS13-170Q350.csv,7,16.0,1.0568760063526403
3,-,CMS_13\CMS13-170Q350.csv,8,20.0,1.006113825946726
3,-,CMS_13\CMS13-170Q350.csv,9,25.0,1.0471651726336386
3,-,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1189310506236652
3,-,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1337929265161533
3,-,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1052326758915776
3,-,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1285276255072203
3,-,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1958569403531498
3,-,CMS_13\CMS13-350Q1000.csv,5,11.0,1.124500113216601
3,-,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1770836091741468
3,-,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0645620291596989
3,-,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0096720907072358
3,-,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9298128638379645
3,-,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1035580548264508
3,-,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9940437718626542
3,-,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9951813276423964
3,-,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0031623289206568
3,-,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9895499531120173
3,-,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9921852573359152
3,-,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9972951825281344
3,-,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9862887781575143
3,-,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9909813956917225
3,-,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.995331071013068
3,-,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.988323941867423
3,-,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9995583470113331
3,-,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9964040334384545
3,-,LHCb_8\LHCb8.csv,0,1.1,0.9497489386739945
3,-,LHCb_8\LHCb8.csv,1,2.8,0.9599211867479288
3,-,LHCb_8\LHCb8.csv,2,4.0,0.9711485536145451
3,-,LHCb_8\LHCb8.csv,3,5.2,0.968905328994611
3,-,LHCb_8\LHCb8.csv,4,6.5,0.9741737272407681
3,-,LHCb_8\LHCb8.csv,5,7.95,0.981843928207337
3,-,LHCb_8\LHCb8.csv,6,9.6,0.9970998592503867
3,+,CMS_13\CMS13-170Q350.csv,0,1.0,1.0773300214908843
3,+,CMS_13\CMS13-170Q350.csv,1,3.0,1.0934784035371299
3,+,CMS_13\CMS13-170Q350.csv,2,5.0,1.0841424079269104
3,+,CMS_13\CMS13-170Q350.csv,3,7.0,1.0794733921504323
3,+,CMS_13\CMS13-170Q350.csv,4,9.0,1.0362468398611953
3,+,CMS_13\CMS13-170Q350.csv,5,11.0,1.0122298840482504
3,+,CMS_13\CMS13-170Q350.csv,6,13.0,1.0490890985973762
3,+,CMS_13\CMS13-170Q350.csv,7,16.0,1.0571165187080411
3,+,CMS_13\CMS13-170Q350.csv,8,20.0,1.006285750096844
3,+,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472902284127796
3,+,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1150743773191416
3,+,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1317459124643192
3,+,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1048083178944172
3,+,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1287850251984457
3,+,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1963459605454234
3,+,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1250159701650613
3,+,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1775832249303206
3,+,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0649610762785093
3,+,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0099734856066587
3,+,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9300229300993799
3,+,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036818284752234
3,+,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.989202930402419
3,+,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9936567709143131
3,+,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0036893071324333
3,+,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9905172374594426
3,+,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9931003084233075
3,+,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9980988946609517
3,+,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9879554121640204
3,+,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.9912685265149664
3,+,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9951186636638373
3,+,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.988119548283091
3,+,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9994426431563712
3,+,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9962911015453482
3,+,LHCb_8\LHCb8.csv,0,1.1,0.9537195806361533
3,+,LHCb_8\LHCb8.csv,1,2.8,0.9605853302797431
3,+,LHCb_8\LHCb8.csv,2,4.0,0.97034480503027
3,+,LHCb_8\LHCb8.csv,3,5.2,0.9680556379911821
3,+,LHCb_8\LHCb8.csv,4,6.5,0.973620598692102
3,+,LHCb_8\LHCb8.csv,5,7.95,0.9813969064945169
3,+,LHCb_8\LHCb8.csv,6,9.6,0.9964799992710078
3,0,CMS_13\CMS13-170Q350.csv,0,1.0,1.078311917047168
3,0,CMS_13\CMS13-170Q350.csv,1,3.0,1.0940009935564634
3,0,CMS_13\CMS13-170Q350.csv,2,5.0,1.0842179049409413
3,0,CMS_13\CMS13-170Q350.csv,3,7.0,1.0793576558066018
3,0,CMS_13\CMS13-170Q350.csv,4,9.0,1.0360824225747456
3,0,CMS_13\CMS13-170Q350.csv,5,11.0,1.0120632780573298
3,0,CMS_13\CMS13-170Q350.csv,6,13.0,1.048935979467804
3,0,CMS_13\CMS13-170Q350.csv,7,16.0,1.0569848419323455
3,0,CMS_13\CMS13-170Q350.csv,8,20.0,1.0061913760759498
3,0,CMS_13\CMS13-170Q350.csv,9,25.0,1.0472213158188732
3,0,CMS_13\CMS13-350Q1000.csv,0,1.0,1.1170604814063099
3,0,CMS_13\CMS13-350Q1000.csv,1,3.0,1.1327971531226573
3,0,CMS_13\CMS13-350Q1000.csv,2,5.0,1.1050240942763327
3,0,CMS_13\CMS13-350Q1000.csv,3,7.0,1.1286512152616714
3,0,CMS_13\CMS13-350Q1000.csv,4,9.0,1.1960943972734366
3,0,CMS_13\CMS13-350Q1000.csv,5,11.0,1.1247510142982697
3,0,CMS_13\CMS13-350Q1000.csv,6,13.0,1.1773271112223014
3,0,CMS_13\CMS13-350Q1000.csv,7,16.0,1.0647568596552497
3,0,CMS_13\CMS13-350Q1000.csv,8,20.0,1.0098190875374455
3,0,CMS_13\CMS13-350Q1000.csv,9,25.0,0.9299155052677535
3,0,CMS_13\CMS13-350Q1000.csv,10,40.0,1.1036182393513199
3,0,ATLAS_8\ATLAS8-00y04.csv,0,1.0,0.9917872501803132
3,0,ATLAS_8\ATLAS8-00y04.csv,1,3.0,0.9944658586505487
3,0,ATLAS_8\ATLAS8-00y04.csv,2,5.0,1.0034079916746375
3,0,ATLAS_8\ATLAS8-00y04.csv,3,7.0,0.9900033777763841
3,0,ATLAS_8\ATLAS8-00y04.csv,4,9.0,0.9926165016598688
3,0,ATLAS_8\ATLAS8-00y04.csv,5,11.5,0.9976735252541953
3,0,ATLAS_8\ATLAS8-04y08.csv,0,1.0,0.9874099898538297
3,0,ATLAS_8\ATLAS8-04y08.csv,1,3.0,0.991212600287454
3,0,ATLAS_8\ATLAS8-04y08.csv,2,5.0,0.9951937600308928
3,0,ATLAS_8\ATLAS8-04y08.csv,3,7.0,0.9881681902207211
3,0,ATLAS_8\ATLAS8-04y08.csv,4,9.0,0.9994519582972368
3,0,ATLAS_8\ATLAS8-04y08.csv,5,11.5,0.9963051261676482
3,0,LHCb_8\LHCb8.csv,0,1.1,0.9521620132646434
3,0,LHCb_8\LHCb8.csv,1,2.8,0.9603843717203012
3,0,LHCb_8\LHCb8.csv,2,4.0,0.9706893009382569
3,0,LHCb_8\LHCb8.csv,3,5.2,0.9683799654436002
3,0,LHCb_8\LHCb8.csv,4,6.5,0.9738159216454174
3,0,LHCb_8\LHCb8.csv,5,7.95,0.9815471385450208
3,0,LHCb_8\LHCb8.csv,6,9.6,0.9966982311763721
4,-,CMS_13\CMS13-170Q350.csv,0,1.0,1.0782913413158683
4,-,CMS_13\CMS13-170Q350.csv,1,3.0,1.0939537715667647
